date,gold_usd_oz,gold_eur_oz,silver_usd_oz,silver_eur_oz,aluminum_usd_mt,aluminum_eur_mt,copper_usd_mt,copper_eur_mt,lithium_usd_mt,lithium_eur_mt
2026-06-02,4523.8000,3883.4109,76.2600,65.4646,3761.8000,3229.2796,14616.8684,12547.7045,25989.9718,22310.8314
2026-06-03,4441.2500,3824.0495,74.3450,64.0133,3700.0000,3185.8110,14272.9473,12289.4358,25183.9788,21684.1613
2026-06-04,4464.9500,3835.8832,73.4800,63.1274,3667.3500,3150.6571,14385.1626,12358.4370,24842.8569,21342.7468
2026-06-05,4463.1000,3834.2938,72.6550,62.4186,3598.5000,3091.5073,13808.6538,11863.1526,24088.2518,20694.4580
2026-06-06,4463.1000,,72.6550,,3598.5000,,13808.6538,,24088.2518,
2026-06-07,4463.1000,,72.6550,,3598.5000,,13808.6538,,24088.2518,
2026-06-08,4280.6000,3709.3539,67.1250,58.1672,3594.5000,3114.8140,13929.2466,12070.3886,24138.9519,20917.6088
2026-06-09,4326.7500,3738.6581,68.6000,59.2759,3524.2500,3045.2339,13922.4123,12030.0780,24181.4402,20894.6988
2026-06-10,4166.4000,3610.7272,64.4600,55.8630,3475.0500,3011.5826,13742.0742,11909.2938,24444.0622,21183.9576
2026-06-11,4079.8500,3536.3324,63.7950,55.2962,3516.5000,3048.0319,13985.6850,12122.5120,24566.4365,21293.6958
2026-06-12,4223.0500,3650.9534,67.0300,57.9494,3543.0000,3063.0298,14176.8258,12256.2912,25212.9561,21797.3569
2026-06-13,4223.0500,,67.0300,,3543.0000,,14176.8258,,25212.9561,
2026-06-14,4223.0500,,67.0300,,3543.0000,,14176.8258,,25212.9561,
2026-06-15,4337.5500,3737.0162,70.6900,60.9030,3375.6500,2908.2913,14286.8364,12308.8239,25225.9364,21733.4055
2026-06-16,4343.3000,3746.1831,70.3750,60.6998,3393.7500,2927.1772,14296.7572,12331.2390,25012.5495,21573.8242
2026-06-17,4331.8500,3737.2603,69.8050,60.2236,3422.3500,2952.5982,14312.6305,12348.0788,25077.1207,21635.0351
2026-06-18,4264.9000,3721.2105,67.7500,59.1132,3399.4500,2966.0881,14066.5946,12273.3851,24710.2008,21560.1444
2026-06-19,4164.5500,3631.7791,64.6650,56.3924,3400.8501,2965.7793,13948.2064,12163.8124,24710.2008,21549.0248
2026-06-20,4164.5500,,64.6650,,3400.8501,,13948.2064,,24710.2008,
2026-06-21,4164.5500,,64.6650,,3400.8501,,13948.2064,,24710.2008,
2026-06-22,4207.7500,3672.9871,66.3500,57.9176,3362.6500,2935.2908,14003.5424,12223.8322,23171.7573,20226.8587
2026-06-23,4112.7500,3610.2131,62.1900,54.5910,3257.5000,2859.4661,13525.8007,11873.0831,23357.2777,20503.2519
2026-06-24,4069.5500,3588.6513,60.6000,53.4389,3119.1500,2750.5600,13067.6801,11523.4723,23127.3332,20394.3762
2026-06-25,3994.5000,3521.8708,57.3650,50.5776,3173.2500,2797.7911,13391.7597,11807.2467,23086.1075,20354.5593
2026-06-26,4047.9500,3550.5379,58.3800,51.2063,3199.0000,2805.9069,13545.2014,11880.7671,22421.7113,19666.5314
2026-06-27,4047.9500,,58.3800,,3199.0000,,13545.2014,,22421.7113,
2026-06-28,4047.9500,,58.3800,,3199.0000,,13545.2014,,22421.7113,
2026-06-29,4042.8500,3544.4879,57.7050,50.5917,3100.0000,2717.8630,13460.9848,11801.6492,22333.8910,19580.7923
2026-06-30,4016.7000,3525.2568,58.7950,51.6014,3097.3500,2718.3892,13651.0233,11980.8206,23061.8228,20240.2088
2026-07-01,3978.5500,3495.1562,58.2500,51.1726,3097.3500,2721.0220,13482.3696,11844.2617,23550.3823,20689.0109
2026-07-02,4064.2000,3565.4007,59.6400,52.3204,3086.2500,2707.4745,13426.5927,11778.7470,23924.7315,20988.4492
2026-07-03,4090.4000,3573.0462,62.3930,54.5015,3093.3000,2702.0594,13602.9625,11882.4598,24354.6650,21274.2870
